Date : 2026-05-20 18:57:30
Directory : e:\qt_project\SyncCanvas
Total : 148 files,  12561 codes, 1639 comments, 2441 blanks, all 16641 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\qt_project\SyncCanvas\DBClient\main.cpp                                      | C++        |         24 |          2 |          6 |         32 |
| e:\qt_project\SyncCanvas\DBClient\mainwindow.cpp                                | C++        |        220 |         77 |         58 |        355 |
| e:\qt_project\SyncCanvas\DBClient\mainwindow.h                                  | C++        |         52 |          9 |         13 |         74 |
| e:\qt_project\SyncCanvas\DBClient\newroomdialog.cpp                             | C++        |         95 |         21 |         32 |        148 |
| e:\qt_project\SyncCanvas\DBClient\newroomdialog.h                               | C++        |         28 |          0 |         13 |         41 |
| e:\qt_project\SyncCanvas\DBClient\paintscene.cpp                                | C++        |        403 |         41 |         71 |        515 |
| e:\qt_project\SyncCanvas\DBClient\paintscene.h                                  | C++        |         77 |         15 |         28 |        120 |
| e:\qt_project\SyncCanvas\DBClient\registerwidget.cpp                            | C++        |        201 |         54 |         42 |        297 |
| e:\qt_project\SyncCanvas\DBClient\registerwidget.h                              | C++        |         31 |         10 |         11 |         52 |
| e:\qt_project\SyncCanvas\DBClient\resetwidget.cpp                               | C++        |        195 |         38 |         40 |        273 |
| e:\qt_project\SyncCanvas\DBClient\resetwidget.h                                 | C++        |         31 |          1 |         11 |         43 |
| e:\qt_project\SyncCanvas\DBClient\singleton.h                                   | C++        |         33 |          9 |          5 |         47 |
| e:\qt_project\SyncCanvas\DBClient\tcpmgr.cpp                                    | C++        |        446 |         64 |         99 |        609 |
| e:\qt_project\SyncCanvas\DBClient\tcpmgr.h                                      | C++        |         68 |          4 |         21 |         93 |
| e:\qt_project\SyncCanvas\DBClient\tipwidget.cpp                                 | C++        |         54 |         24 |         18 |         96 |
| e:\qt_project\SyncCanvas\DBClient\tipwidget.h                                   | C++        |         15 |         16 |          7 |         38 |
| e:\qt_project\SyncCanvas\DBClient\userdata.cpp                                  | C++        |          5 |          0 |          3 |          8 |
| e:\qt_project\SyncCanvas\DBClient\userdata.h                                    | C++        |         18 |         10 |          3 |         31 |
| e:\qt_project\SyncCanvas\DBClient\userlisttree.cpp                              | C++        |         15 |          0 |          3 |         18 |
| e:\qt_project\SyncCanvas\DBClient\userlisttree.h                                | C++        |         13 |          0 |          4 |         17 |
| e:\qt_project\SyncCanvas\DBClient\usermgr.cpp                                   | C++        |        133 |         11 |         28 |        172 |
| e:\qt_project\SyncCanvas\DBClient\usermgr.h                                     | C++        |         33 |          9 |          7 |         49 |
| e:\qt_project\SyncCanvas\DBClient\welcomewidget.cpp                             | C++        |         28 |          6 |         10 |         44 |
| e:\qt_project\SyncCanvas\DBClient\welcomewidget.h                               | C++        |         20 |          0 |          9 |         29 |
| e:\qt_project\SyncCanvas\DBClient\widthpopup.cpp                                | C++        |          1 |          0 |          2 |          3 |
| e:\qt_project\SyncCanvas\DBClient\widthpopup.h                                  | C++        |        100 |         20 |         25 |        145 |
| e:\qt_project\SyncCanvas\GateServer\CMakeLists.txt                              | CMake      |        123 |          0 |         17 |        140 |
| e:\qt_project\SyncCanvas\GateServer\CMakePresets.json                           | JSON       |        101 |          0 |          1 |        102 |
| e:\qt_project\SyncCanvas\GateServer\README.md                                   | Markdown   |         27 |          0 |          7 |         34 |
| e:\qt_project\SyncCanvas\GateServer\gen_message.bat                             | Batch      |         23 |         10 |          8 |         41 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\AsioIOServicePool.h      | C++        |         25 |          4 |         11 |         40 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\CServer.h                | C++        |         23 |          1 |          0 |         24 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\ConfigMgr.h              | C++        |         66 |          0 |         10 |         76 |
| e:\qt_project\SyncCanvas\GateServer\include\GateServer\GateServer.h             | C++        |          2 |          3 |          4 |          9 |
